,기타
0,"['/', '토익:', '910,', '토익스피킹:', ',', '오픽:', 'IH,', '기타:', '/', '사회생활', '경험:', '인턴', '3회', '/', '공모전', '수상', '3회', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:', 'ADsP']"
1,"['/', '토익:', ',', '토익스피킹:', '120/레벨5,', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '경영지원', '경력', '4년', '1개월', '/', 'LPOINT', '스마트큐레이터', '공모전', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', '1급,', '기타:', '정보처리기사,', '사회조사분석사', '2급,', 'ADsP']"
2,"['/', '토익:', ',', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '/', '청취아', '인공지능', '수업', '최우수상,', '통계청', '공공', '데이터', '활용대회', '참가,', '교내', '해커톤', '최우수상', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '2급,', '기타:', '사화조사분석사2급,adsp,sqld']"
3,"['/', '토익:', ',', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '인턴', '경험', '1회', '/', '대외활동', '1회,', '공모전', '수상', '2회', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:', 'sqld,', 'adsp']"
4,"['/', '토익:', '910,', '오픽:', 'IH', '/', '사회생활', '경험:', '인턴', '3회', '/', '공모전수상', '3회', '/', '기타:', 'ADsP']"
5,"['/', '토익:', '855,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:']"
6,"['/', 'X', '/', '사회생활', '경험:', '인턴', '경험', '1회', '/', '대외활동', '1회,', '공모전', '수상', '2회', '/', '기타:', 'adsp,', 'spld']"
7,"['/', '사회생활', '경험:', '나스미디어,', '비나우', '/', '상상프렌즈,', '삼성증권', '대학생봉사단', '/', '컴퓨터활용능력:', '2급']"
8,"['/', '토익:', '790,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '인턴1회', '/', '빅데이터', '분석대회', '대상', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급,', '기타:', 'SQLD']"
9,"['/', '토익:', ',', '토익스피킹:', '120,', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '/', '학과학생회,', '학과학습동아리,', ""봉사동아리'이음',"", '융복합프로젝트형빅데이터분석준전문가', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:', '데이터분석준전문가']"
10,"['/', 'X', '/', '사회생활', '경험:', '인턴', '경험', '1회', '/', '대외활동', '1회,', '공모전', '수상', '2회', '/', '기타:', 'adsp,', 'sqld']"
11,"['/', '토익:', '830,', '토익스피킹:', 'lv6,', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '수에즈코리아', '/', '2015서울', '창조경제해커톤,', '2015', '종합설계대회', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:', 'Adsp']"
12,"['/', '토익:', '910,', '오픽:', 'IH', '/', '사회생활', '경험:', '인턴', '3회', '/', '공모전', '수상', '3회', '/', '기타:', 'ADsP']"
13,"['/', 'X', '/', '사회생활', '경험:', '인턴', '경험', '1회', '/', '대외활동', '1회,', '공모전', '수상', '2회', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:', 'adsp,', 'sqld']"
