모집직종,count
-,104
IT개발·데이터,21
데이터 분석가(빅데이터 분석가) 직업정보,12
"데이터엔지니어,데이터사이언티스트",2
데이터 전문가,2
데이터 설계 및 프로그래머 직업정보,2
데이터웨어하우징,2
"기획·전략,IT개발·데이터",2
"생산,IT개발·데이터",2
IT 테스터 및 IT QA 전문가,1
"사무보조,설문·리서치",1
"웹개발자,시스템엔지니어,데이터엔지니어",1
"사업기획,전략기획,사업조사·분석,경영관리",1
"디자인,IT개발·데이터,총무·법무·사무,영업·판매·무역",1
"마케팅·홍보·조사,기획·전략,IT개발·데이터,건설·건축,영업·판매·무역",1
"마케팅,마케팅기획,마케팅전략,제휴마케팅,입소문마케팅,온라인마케팅,CRM,광고,광고기획",1
생산·품질 사무원 및 관리원(그 외 분야),1
"사무담당자,사무보조,영업지원,경영지원,경리",1
JAVA 프로그래밍 언어 전문가 직업정보,1
시스템 소프트웨어 개발자,1
CRM,1
"마케팅기획,사무담당자,총무,사무보조,회계담당자,경리,세무담당자,AE(광고기획자),온라인마케터,콘텐츠마케터,홍보,MD,크리에이티브디렉터,자재관리자,영업관리,영업지원,식품연구원,콘텐츠에디터,크리에이터,데이터사이언티스트,매장관리자",1
"전략기획,마케팅기획",1
"브랜드마케팅,시장조사·분석,통계,설문·리서치·모니터링",1
전산자료 입력원(DB·단순자료) 직업정보,1
"영업기획,법인영업,영업관리",1
영업 기획·관리·지원 사무원 직업정보,1
"UI·UX디자인,모바일UI",1
"UI·UX디자인,모바일UI,웹디자인",1
"마케팅기획,브랜드마케팅,온라인마케팅,CRM,제휴마케팅",1
"제휴마케팅,CRM",1
"사업기획,사업조사·분석,서비스기획·운영",1
전산자료 입력원 및 사무 보조원,1
"기획·전략,영업·판매·무역",1
컨텐츠기획·운영,1
"퍼포먼스마케터,데이터사이언티스트",1
"웹기획,콘텐츠마케터,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,머신러닝엔지니어,웹퍼블리셔,그래픽디자이너,편집디자이너,물류관리자,자재관리자,유통관리자,영업관리,영업지원,학교·특수학교교사,학원강사,학습지·방문교사,교재개발·교수설계,출판·편집,작가",1
기타 연극·영화·방송 종사원,1
"DBA,MySQL",1
"설문·리서치,데이터엔지니어,데이터사이언티스트",1
"자동차,전기·전자,일반사무",1
데이터엔지니어,1
SQL,1
"서버구축,데이터베이스",1
"데이터엔지니어,데이터사이언티스트,DBA",1
"데이터사이언티스트,데이터엔지니어",1
"DBA,데이터엔지니어,데이터사이언티스트",1
"데이터사이언티스트,IT·기술영업,데이터엔지니어",1
"데이터사이언티스트,웹기획,경영·비즈니스 기획",1
"IT개발·데이터,영업·판매·무역",1
"IT개발·데이터,의료",1
데이터사이언티스트,1
"데이터사이언티스트,머신러닝엔지니어,DBA",1
"데이터사이언티스트,CRM마케터",1
"데이터사이언티스트,QA",1
"퍼포먼스마케터,마케팅기획,데이터사이언티스트",1
"백엔드개발자,데이터엔지니어,시스템엔지니어",1
"시스템엔지니어,네트워크엔지니어,DBA,데이터엔지니어,사무담당자",1
"제휴마케팅,마케팅기획,온라인마케팅",1
"DBA,데이터엔지니어,데이터사이언티스트,웹기획,R&D·연구원,경영·비즈니스 기획",1
