cnt,pdate,title,description,org_link,link
1,2024-02-15 08:34:00,"[토큰포스트 브리핑] 비트코인 시총 1조 달러, 암호화폐 전체 시총 2조 달러 ...","외신 &quot;BTC, 매도 물량 감소 국면...$55,000 이상으로 상승 가능&quot; 코인텔레그래프가 글래스노드 <b>데이터</b>를... 보안업체 &quot;ERC 404 토큰 <b>MINER</b>서 취약점 발견&quot; 슬로우미스트 설립자 Cos(余弦)가 X를 통해 &quot;ERC 404 토큰 표준... ",https://www.tokenpost.kr/article-164679,https://www.tokenpost.kr/article-164679
2,2024-02-15 00:34:00,"[송길영의 빅 <b>데이터</b>, 세상을 읽다] 책이 흐르는 곳, 사람이 머무는 곳","모둠은 생각을 주고받으며 더욱 커지는 뜻 속에서 저마다의 성장을 만들어 나갑니다. 얼굴을 보건, 차를 마시건, 깊은 토론을 하건, 모든 것은 우리 마음의 주고받음이라는 사실은 변하지 않을 것입니다. 송길영 Mind <b>Miner</b>",https://www.joongang.co.kr/article/25228762,https://n.news.naver.com/mnews/article/025/0003341440?sid=110
3,2024-01-18 23:54:00,"[증권소식] 내일부터 주가조작에 부당이득 2배 과징금/대통령실, &quot;비트코인 E...","SK증권은 오는 2025년 <b>데이터</b>를 기반으로 2026년부터 첫 번째 TNFD를 공개할 예정이다.이는 지난 2022년부터... 'HANARO 글로벌금채굴기업 ETF'는 ‘NYSE Arca Gold <b>Miner</b> Index’를 기초지수로 추종한다. 이는 미국, 캐나다, 호주... ",https://www.asiatime.co.kr/article/20240118500394,https://www.asiatime.co.kr/article/20240118500394
4,2024-01-15 17:04:00,취약점 노리는 코인 마이너 악성코드 ‘Mimo’... 랜섬웨어 등 연관 공격도 발...,"지금까지 알려진 공격 사례는 모두 최종적으로 Mimo <b>Miner</b> Bot이라고 하는 XMRig 코인 마이너를 설치하는... 설정 <b>데이터</b>만 변경됐다. 또한, 유포 방식 및 설치하는 스크립트는 확인되지 않았지만 Mimo 코인... ",http://www.boannews.com/media/view.asp?idx=125748&kind=,http://www.boannews.com/media/view.asp?idx=125748&kind=
5,2024-01-11 00:29:00,"[송길영의 빅 <b>데이터</b>, 세상을 읽다] 새해의 시작은 도반과 함께","일상의 혜안을 타인의 경험이 축적된 <b>데이터</b>로부터 얻는 습관으로 단련된지라, 저와 도반들의 공부는 항상... 빨리 가지만 함께는 멀리 갈 수 있다는 예전 격언은 공부에서는 언제나 옳다 믿기 때문입니다. 송길영 Mind <b>Miner</b>",https://www.joongang.co.kr/article/25221147,https://n.news.naver.com/mnews/article/025/0003334365?sid=110
6,2024-01-09 09:02:00,AI기반 스마트 제조 솔루션 스타트업 앰버로드 &quot;시드투자 유치&quot;,회사측은 &quot;<b>Miner</b> Report를 활용하면 입력한 <b>데이터</b>로 AI가 자료를 분석하고 맞춤형 AI 모델과 비즈니스 인사이트 보고서를 도출하게 된다&quot;며 &quot;이러한 AI 모델을 현장에 적용시키면 공정을 최적화할 수 있어 효율적인 운영... ,http://www.joseilbo.com/news/news_read.php?uid=507091&class=17&grp=,https://n.news.naver.com/mnews/article/123/0002324848?sid=101
7,2024-01-08 16:46:00,"AI 기반 스마트 제조 솔루션 스타트업 앰버로드, 투자 유치",업체의 <b>Miner</b> Report를 활용하면 입력한 <b>데이터</b>로 AI가 자료를 분석하고 맞춤형 AI 모델과 비즈니스 인사이트 보고서를 도출하게 되는데 이러한 AI 모델을 현장에 적용시키면 공정을 최적화할 수 있어 효율적인 운영 및... ,https://www.getnews.co.kr/news/articleView.html?idxno=655971,https://www.getnews.co.kr/news/articleView.html?idxno=655971
8,2024-01-01 16:18:00,이제 제로섬 게임은 그만두자,(Mind <b>Miner</b>)&quot; 송길영은 &lt;시대예보:핵개인의 시대&gt;에서 이제 제로섬 게임을 그만두자고 역설한다. 공간이든 삶의... 인간을 위한 공간 소비 두 작가의 견해에는 경제·사회·심리·역사·철학 등 인문학적 사고에 기반한 <b>데이터</b>... ,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002990096&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002417516?sid=103
9,2023-12-29 17:21:00,"2024년, 해시드가 집중하는 투자 섹터는?","그 중 애플리케이션별 롤업에서 MEV(<b>Miner</b> Extractable Value)를 최소화하는 제품, 중앙화된 검증자 노드를 억제하는 프라이버시 솔루션, 앱 특화 롤업을 위한 고성능의 밸리<b>데이터</b> 노드를 빠르게 세팅할 수 있도록 돕는... ",https://www.hankyung.com/article/202312290906g,https://n.news.naver.com/mnews/article/015/0004930841?sid=101
10,2023-12-15 14:40:00,"Apache 오픈소스 소프트웨어, 원격코드 실행 취약점 발견... 해커들은 ‘군침...",대규모 <b>데이터</b> 유출 사건이 발생한 바 있다는 점에서 주목할 필요가 있다. 한국인터넷진흥원(KISA)... “최근에는 △Ladon △NetCat △AnyDesk △z0<b>Miner</b>를 설치하는 공격이 추가로 확인됐다”고 밝혔다. Ladon은... ,http://www.boannews.com/media/view.asp?idx=124844&kind=,http://www.boannews.com/media/view.asp?idx=124844&kind=
11,2023-12-10 16:06:00,IMF의 암호자산 거시금융위험 평가 방법론 제안과 향후 과제,"세부 <b>데이터</b>를 필요로 하며, 이를 참고하여 암호자산 위험평가를 실시하고 암호자산 관련 정책대응에... - ‘암호자산 생태계(crypto eco system)’는 크게 발행자(issuer), 채굴자(<b>miner</b>)/인증자(validator), 거래소... ",http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=53804,http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=53804
12,2023-12-10 11:02:00,"&quot;미래 CEO 꿈꾸는 청년들이여, 모여라!&quot; 한경협 '퓨처 리더스 캠프' 개최",송길영 작가는 자타공인 빅<b>데이터</b> 전문가로 사람들의 마음을 읽는 일을 한다는 의미에서 '마인드 마이너(Mind <b>Miner</b>)'로 불린다. 그는 변화하는 세상에서 시대의 변화를 예보하고 미래의 흐름에 대한 통찰력을 제공해줄... ,https://www.econovill.com/news/articleView.html?idxno=637837,https://www.econovill.com/news/articleView.html?idxno=637837
13,2023-12-10 11:02:00,"&quot;미래 CEO 꿈꾸는 청년들 모여라&quot;···한경협, '퓨처 리더스 캠프' 개최",송 작가는 자타공인 빅<b>데이터</b> 전문가로 사람들의 마음을 읽는 일을 한다는 의미에서 '마인드 마이너(Mind <b>Miner</b>)'로 불린다. 그는 변화하는 세상에서 시대의 변화를 예보하고 미래의 흐름에 대한 통찰력을 제공해줄... ,https://www.youthdaily.co.kr/news/article.html?no=141158,https://www.youthdaily.co.kr/news/article.html?no=141158
14,2023-12-10 11:00:00,"“미래 CEO 모여라”...한경협, ‘퓨처 리더스 캠프’ 모집",송길영 작가는 자타공인 빅<b>데이터</b> 전문가로 사람들의 마음을 읽는 일을 한다는 의미에서 ‘마인드 마이너(Mind <b>Miner</b>)’로 불린다. 그는 변화하는 세상에서 시대의 변화를 예보하고 미래의 흐름에 대한 통찰력을 제공해줄... ,https://www.dailian.co.kr/news/view/1304557/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002777708?sid=101
15,2023-12-07 00:35:00,"[송길영의 빅 <b>데이터</b>, 세상을 읽다] 핵개인을 찾아서","메세나의 은전을 바라지 않고도 나의 팬에게 울림을 전하기 위해 핵개인은 자신만의 무대를 만들어 나갑니다. 우리 모두의 꿈은 자신의 건물을 가진 건물주가 아닌, 자신의 무대를 가진 핵개인이 되어갑니다. 송길영 Mind <b>Miner</b>",https://www.joongang.co.kr/article/25212931,https://n.news.naver.com/mnews/article/025/0003326788?sid=110
16,2023-12-02 18:04:00,이번 주 종합 베스트셀러 순위 [인포그래픽],"한 철의 기상을 알려주는 일기예보가 아닌, 삶을 대비하기 위한 더 큰 호흡의 '시대예보' 수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=203890,http://www.sisunnews.co.kr/news/articleView.html?idxno=203890
17,2023-11-25 18:04:00,이번 주 종합 베스트셀러 순위 [인포그래픽],"한 철의 기상을 알려주는 일기예보가 아닌, 삶을 대비하기 위한 더 큰 호흡의 '시대예보' 수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=203581,http://www.sisunnews.co.kr/news/articleView.html?idxno=203581
18,2023-11-18 18:04:00,이번 주 종합 베스트셀러 순위 [인포그래픽],"한 철의 기상을 알려주는 일기예보가 아닌, 삶을 대비하기 위한 더 큰 호흡의 '시대예보' 수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=203245,http://www.sisunnews.co.kr/news/articleView.html?idxno=203245
19,2023-11-11 18:02:00,이번 주 종합 베스트셀러 순위 [인포그래픽],"한 철의 기상을 알려주는 일기예보가 아닌, 삶을 대비하기 위한 더 큰 호흡의 '시대예보' 수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=202872,http://www.sisunnews.co.kr/news/articleView.html?idxno=202872
20,2023-11-04 18:04:00,이번 주 종합 베스트셀러 순위 [인포그래픽],"한 철의 기상을 알려주는 일기예보가 아닌, 삶을 대비하기 위한 더 큰 호흡의 '시대예보' 수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=202572,http://www.sisunnews.co.kr/news/articleView.html?idxno=202572
21,2023-11-02 00:41:00,"[송길영의 빅 <b>데이터</b>, 세상을 읽다] 무언가 짓는 사람",200년간의 <b>데이터</b>를 통해 증명했습니다. 이제 지능화와 초연결로 노동을 아닌 숙고를 파는 세상으로 바뀌며... 그리고 각자의 작품을 교환해 향유하고 서로에게 영감을 주는 아름다운 근미래를 희망해 봅니다. 송길영 Mind <b>Miner</b>,https://www.joongang.co.kr/article/25204147,https://n.news.naver.com/mnews/article/025/0003318690?sid=110
22,2023-10-28 18:04:00,이번 주 종합 베스트셀러 순위 [인포그래픽],"한 철의 기상을 알려주는 일기예보가 아닌, 삶을 대비하기 위한 더 큰 호흡의 '시대예보' 수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를... ",http://www.sisunnews.co.kr/news/articleView.html?idxno=202235,http://www.sisunnews.co.kr/news/articleView.html?idxno=202235
23,2023-10-25 10:54:00,[브레인 북스] 시대예보: 핵개인의 시대,수많은 사람의 기록이 축적된 빅<b>데이터</b>에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind <b>Miner</b>) 송길영은 사회의 변화를 누구보다 빠르게 읽어왔다. 그런 그가 이번에는 수십 년 전의 과거부터 산업화의 격변과... ,http://www.brainmedia.co.kr/RecommendedBook/23740,http://www.brainmedia.co.kr/RecommendedBook/23740
