cnt,pdate,title,description,org_link,link
1,2024-02-15 16:02:00,[김장현의 테크와 사람] 〈43〉그래도 인재가 미래다,"인간의 유전체를 분석하는데에는 고도의 <b>데이터</b>사이언스가 활용된다. 휴먼 에러가 많은 수술일수록... 의사<b>과학자</b>가 필요하다면, AI윤리 전문가도 필요하며, 기술에 아트를 접목하는 테크노아티스트도 필요하다. 우리의... ",https://www.etnews.com/20240215000005,https://n.news.naver.com/mnews/article/030/0003181321?sid=110
2,2024-02-15 15:32:00,"기대생존율 1년 미만 '미분화 갑상선암', 대사 조절로 항암효과 높일 수 있다","그뿐만 아니라 대사체 <b>데이터</b>, 단일세포 전사체 등의 다중 오믹스를 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 함께 생성 및 분석하고 이를 기반으로 여러 암대사리프로그래밍 연관 회로 중 '미토콘드리아... ",https://www.healthinnews.co.kr/news/articleView.html?idxno=44577,https://www.healthinnews.co.kr/news/articleView.html?idxno=44577
3,2024-02-15 15:02:00,"충남대학교병원 내분비대사내과 연구팀, 국제학술지 논문 게재","그뿐만 아니라 대사체 <b>데이터</b>, 단일세포 전사체 등의 다중 오믹스를 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 함께 생성 및 분석하고 이를 기반으로 여러 암대사리프로그래밍 연관 회로 중 '미토콘드리아... ",http://www.gocj.net/news/articleView.html?idxno=132598,http://www.gocj.net/news/articleView.html?idxno=132598
4,2024-02-15 14:44:00,갑상선암 항암효과 극대화 방법론 개발,"수석 <b>과학자</b>인 박성열 박사와 대사체 <b>데이터</b>, 단일세포 전사체 등의 다중 오믹스를 생성·분석했다. 이를 통해 갑상선암에서 세린(serine) 등 단일 탄소 대사와 관련된 대사체들의 증가를 확인했고 전사체, 단일세포 전사체... ",https://www.ggilbo.com/news/articleView.html?idxno=1015418,https://www.ggilbo.com/news/articleView.html?idxno=1015418
5,2024-02-15 14:40:00,충남대병원 내분비대사내과 연구팀,"그뿐만 아니라 대사체 <b>데이터</b>, 단일세포 전사체 등의 다중 오믹스를 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 함께 생성 및 분석하고 이를 기반으로 여러 암대사리프로그래밍 연관 회로 중 '미토콘드리아... ",http://www.dtnews24.com/news/articleView.html?idxno=765685,http://www.dtnews24.com/news/articleView.html?idxno=765685
6,2024-02-15 13:10:00,손석구 '아역 얼굴' 어떻게? '딥하게' 들어온 딥페이크 기술(인터뷰),두 사례에서 보듯이 딥페이크 기술은 더이상 <b>과학자</b>들만의 이야기가 아닙니다. 우리 생활에 깊이 들어와... ◆ 정영범〉 우리가 가진 <b>데이터</b>들이 있죠. 사진 한 장면을 만들려고 그러면 영상에서는 한 프레임에 한 27개에서... ,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12165499,https://n.news.naver.com/mnews/article/437/0000379804?sid=102
7,2024-02-15 11:07:00,"충남대병원 내분비대사내과 연구팀, 국제학술지 논문 게재","뿐만 아니라 대사체 <b>데이터</b>, 단일세포 전사체 등의 다중 오믹스를 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 함께 생성 및 분석하고 이를 기반으로 여러 암대사리프로그래밍 연관 회로 중 ‘미토콘드리아 세린... ",http://www.inews24.com/view/1687173,https://n.news.naver.com/mnews/article/031/0000812816?sid=102
8,2024-02-15 11:05:00,"충남대병원 강예은 교수팀, 비만과 연관된 갑상선암 공격성 기전 첫 규명","이어 대사체 <b>데이터</b>, 단일 세포 전사체 등 다중 오믹스를 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 함께 생성 및 분석했다. 그 결과 여러 암 대사 리프로그래밍 연관 회로 중 ‘미토콘드리아 세린... ",http://www.newsis.com/view/?id=NISX20240215_0002627488&cID=10807&pID=10800,https://n.news.naver.com/mnews/article/003/0012374129?sid=102
9,2024-02-15 11:00:00,메탄 배출 주범 샅샅이 잡아내는 '문샷' 위성 내달 뜬다,위성은 지구를 둘러싼 300마일(약 483㎞) 길이 궤도를 하루 15차례씩 돌며 메탄 배출량 <b>데이터</b>를 수집할... 스티븐 함부르크 EDF 수석 <b>과학자</b>는 “2025년 말에는 전 세계 주요 석유·가스 생산 지대에서의 메탄 배출량을... ,https://www.hankyung.com/article/202402155403i,https://n.news.naver.com/mnews/article/015/0004948666?sid=104
10,2024-02-15 10:59:00,'미분화 갑상선암'서 미토콘드리아 단일 탄소 대사 경로 역할 규명,"이와 함께 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 대사체 <b>데이터</b>, 단일세포 전사체 등 다중 오믹스를 생성 및 분석하고 이를 기반으로 여러 암대사리프로그래밍 연관 회로 중 ‘미토콘드리아 세린 생합성 경로’... ",https://www.news1.kr/articles/5321422,https://n.news.naver.com/mnews/article/421/0007352540?sid=102
