cnt,pdate,title,description,org_link,link
1,2024-02-15 16:02:00,칼럼 | ‘코드 생성은 시작일 뿐’··· 생성형 AI가 이끌 SW 개발의 변화 1...,"<b>엔지니어</b> 10명 몫을 해낼 수 있는 존재가 확산하면서 개발 팀과 데브옵스 팀의 생산성이 향상될 것이다”... 그럼에도 불구하고 개발자들은 여전히 <b>데이터</b> 필드 매핑, 트랜스포메이션 논리 코딩, 신뢰성 보장, 성능... ",https://www.ciokorea.com/news/325534,https://www.ciokorea.com/news/325534
2,2024-02-15 15:36:00,"프루프포인트 “종합병원 78%, 이메일 인증 프로토콜 없어”",최태용 프루프포인트 코리아 수석 시스템 <b>엔지니어</b>는 &quot;전 세계적으로 의료기관의 이메일을 사칭한 피싱... 통해 <b>데이터</b> 유출을 사전에 방지하는 것이 중요하다&quot;고 덧붙였다. 프루프포인트가 국내 공공종합병원을... ,https://www.hellot.net/news/article.html?no=86833,https://www.hellot.net/news/article.html?no=86833
3,2024-02-15 15:20:00,"인공지능에 손대기 시작한 해킹 단체들, 시작은 미약하지만 끝은 창대할지도","여기서 말하는 기본적인 스크립팅 작업이란 1) 파일 조작, 2) <b>데이터</b> 취사, 3) 멀티프로세싱, 4) 첩보 수집... 소셜<b>엔지니어</b>링 공격을 위한 텍스트를 매끄럽게 만지거나 번역한다든가 하는 작업들이 여기에 포함된다.... ",http://www.boannews.com/media/view.asp?idx=126719&kind=,http://www.boannews.com/media/view.asp?idx=126719&kind=
4,2024-02-15 15:05:00,"델 &quot;기업·공공기관 63%, 올해 AI 업무 위한 워크스테이션 도입 고려&quot;","또 '제조·연구개발 <b>엔지니어</b>'(67.3%), 'IT 개발자'(58.4%) 등 전문 직무 응답자의 과반수 이상이 추후 <b>데이터</b> 집약적인 업무를 처리하기 위해 워크스테이션 제품을 사용할 의향이 있다고 답했다. 현재 워크스테이션의 최대... ",http://www.inews24.com/view/1687318,https://n.news.naver.com/mnews/article/031/0000812914?sid=101
5,2024-02-15 15:02:00,"AI가 촉발한 IT 예산의 중심 이동, 일자리 재편 불가피","개발자, <b>데이터</b> 분석가, 클라우드 <b>엔지니어</b> 등을 꼽았다. IT 직원은 &quot;최첨단&quot; 기술을 계속 습득해야 하며, 이는 곧 AI에 정통해야 하는 것을 의미한다. 메간 웨이 교수는 &quot;마케팅, 커뮤니케이션, 고객 서비스 등에... ",https://www.itworld.co.kr/news/325527,https://www.itworld.co.kr/news/325527
6,2024-02-15 14:46:00,"델 테크놀로지스, '업무용 PC 및 워크스테이션 사용 현황 조사' 보고서 발표","전문 사용자 및 일반 사무직의 55% 이상, 추후 워크스테이션 도입 의사 밝혀 이번 조사에 따르면 '제조·연구개발 <b>엔지니어</b>(67.3%)', 'IT 개발자(58.4%)' 등 전문 직무 응답자의 과반수 이상이 추후 <b>데이터</b> 집약적인 업무를... ",http://www.ilovepc.co.kr/news/articleView.html?idxno=49062,http://www.ilovepc.co.kr/news/articleView.html?idxno=49062
7,2024-02-15 14:40:00,델 테크놀로지스 “AI 업무 위한 워크스테이션 도입 급증할 것”,"보고서에 따르면 '제조·연구개발 <b>엔지니어</b>'(67.3%), 'IT 개발자'(58.4%) 등 전문 직무 응답자의 과반수 이상이 추후 <b>데이터</b> 집약적인 업무를 처리하기 위해 워크스테이션 제품을 사용할 의향이 있다고 답했다. 현재... ",https://www.hellot.net/news/article.html?no=86828,https://www.hellot.net/news/article.html?no=86828
8,2024-02-15 14:12:00,'반도체 전설' 짐켈러 방한…국내 기업과 'AI 동맹' 확대할까?,"그는 인텔에서 수석부사장, AMD에서 수석설계자를 역임하며 반도체 설계 분야의 전설적인 <b>엔지니어</b>로... LG전자는 텐스토렌트의 향후 <b>데이터</b>센터 제품에 비디오 처리 기능을 제공하며 협력할 예정이다. 지난해 6월... ",https://www.cwn.kr/news/articleView.html?idxno=26697,https://www.cwn.kr/news/articleView.html?idxno=26697
9,2024-02-15 14:04:00,"이재용 ‘인재 중시’ 경영 빛난다…삼성전자, 경력사원 대규모 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 CPU(중앙처리장치) 관련 시스템 및 시스템온칩(SoC) 개발... AP(애플리케이션프로세서) 공급 업체와 저전력 AP 설계를 위한 개선 방향을 논의할 D램 <b>엔지니어</b>도... ",https://www.ceoscoredaily.com/page/view/2024021513002681775,https://www.ceoscoredaily.com/page/view/2024021513002681775
10,2024-02-15 13:21:00,삼성전자 KT 'AI 인재' 대거 채용,"2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC)... 애플리케이션 프로세서(AP) 공급업체와 저전력 AP 설계를 위한 개선 방향을 논의할 D램 <b>엔지니어</b>도 모집한다.... ",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20240215.99099004336,https://n.news.naver.com/mnews/article/658/0000066106?sid=101
