cnt,pdate,title,description,org_link,link
1,2024-02-15 15:02:00,"AI가 촉발한 IT 예산의 중심 이동, 일자리 재편 불가피","또한 고급 개발자, 풀스택 개발자, 클라우드 및 인프라 분야의 인력, 그리고 <b>빅데이터</b>를 추적하고 감독하고 이해할 수 있는 <b>데이터 분석가</b> 역시 “엄청난 수요”가 있는 영역이다. AI 도입으로 인력 재편이 일어날... ",https://www.itworld.co.kr/news/325527,https://www.itworld.co.kr/news/325527
2,2024-02-15 03:02:00,중국은 왜 바닷속에 축구장 13개 규모 <b>데이터</b>센터를 건설했나,로젠블라트증권의 <b>분석가</b> 한스 모제스만은 블룸버그에 “액체 냉각 방식은 차세대 AI 컴퓨팅 하드웨어 설루션을 위한 필수 요소”라고 했다. 폐열로 전기 만들고 지역난방까지 아예 <b>데이터</b>센터를 바닷속에 구축하는... ,https://www.chosun.com/economy/tech_it/2024/02/15/HMU7DDYWAZAZPEX3C3AYF6NTFI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003816697?sid=105
3,2024-02-14 17:42:00,서울사이버대 'AI 선도대학 원년' 선포,"부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산<b>데이터</b>분석 컨설턴트, 부동산시장 트렌드 <b>분석가</b>, 부동산 스타트업, 부동산중개법인, 공인중개사무소, 부동산 개발회사, 부동산<b>데이터분석가</b>... ",http://www.veritas-a.com/news/articleView.html?idxno=494000,http://www.veritas-a.com/news/articleView.html?idxno=494000
4,2024-02-14 16:36:00,"[데일리픽] 생성형 AI, 칩 공급난 해결할까...애플, AI 스타트업 32개 인수",AI 칩 시장을 지배하는 엔비디아도 지난해말 자체 <b>데이터</b>로 최적화한 AI 시스템은 칩니모(ChipNeMo)를... 에디스 리드 스톨클리틱스 금융 <b>분석가</b>는 &quot;MS와 구글은 이미 성장한 AI 기업에 상당한 투자를 했다&quot;며 &quot;이와 달리... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505848,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505848
5,2024-02-14 16:33:00,"서울사이버대, 'AI 선도대학 원년' 선포","부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산<b>데이터</b>분석 컨설턴트, 부동산시장 트렌드 <b>분석가</b>, 부동산 스타트업, 부동산중개법인, 공인중개사무소, 부동산 개발회사, 부동산<b>데이터분석가</b>... ",https://www.etnews.com/20240214000333,https://n.news.naver.com/mnews/article/030/0003180974?sid=102
6,2024-02-14 14:53:00,서울사이버대 'AI 선도대학 원년' 선포 통한 인공지능 기반 교육 혁신,"부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산<b>데이터분석가</b>, <b>데이터</b>기반 마케팅 전문가 등으로 활약 가능하다. AI스마트팜학과는 기존 원예생명공학분야는 물론 신규 생성되는 스마트팜 분야까지... ",http://www.fnnews.com/news/202402141450532264,https://n.news.naver.com/mnews/article/014/0005142116?sid=102
7,2024-02-14 12:00:00,한국은 왜 보치-베이커 안 나올까…구단들이 노장 감독 외면하는 진짜 이유 [...,레인저스 구단의 <b>데이터 분석가</b> 바비 밴델로가 '디 애슬레틱'과 인터뷰에서 한 말도 인상적이다. 보치 감독과 만나기 전까지만 해도 밴델로는 노장 감독인 보치가 <b>데이터</b>를 무시하는 것 아닐까 걱정이 많았다. 내심 감독과... ,http://www.spochoo.com/news/articleView.html?idxno=107930,http://www.spochoo.com/news/articleView.html?idxno=107930
8,2024-02-14 10:10:00,"서울사이버대, 'AI 선도대학 원년' 선포 통한 인공지능 기반 교육 혁신 '박차...","부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산<b>데이터</b>분석 컨설턴트, 부동산시장 트렌드 <b>분석가</b>, 부동산 스타트업, 부동산중개법인, 공인중개사무소, 부동산 개발회사, 부동산<b>데이터분석가</b>... ",https://www.dailysmart.co.kr/news/articleView.html?idxno=83357,https://www.dailysmart.co.kr/news/articleView.html?idxno=83357
9,2024-02-14 09:38:00,"​서울사이버대, ‘AI 선도대학 원년’ 선포","부동산인공지능학사 학위 취득이 가능하며 졸업 후 진로로는 부동산<b>데이터</b>분석 컨설턴트, 부동산시장 트렌드 <b>분석가</b>, 부동산 스타트업, 부동산중개법인, 공인중개사무소, 부동산 개발회사, 부동산<b>데이터분석가</b>... ",https://dhnews.co.kr/news/view/1065573151990027,https://dhnews.co.kr/news/view/1065573151990027
10,2024-02-12 16:15:00,모빌리티 <b>데이터</b> 활용 신산업 만든다...'자동차 <b>데이터</b> 포털' 구축 추진,"<b>데이터</b> 수집·저장을 위한 중형 <b>데이터</b> 센터 구축, 가상 <b>데이터</b> 등 <b>데이터</b> 생성 장비·시설 구축을 통한 <b>데이터</b> 추가 확보, <b>데이터 분석가</b>들의 자동차산업 참여를 유도하기 위한 <b>데이터</b> 분석 생태계 조성도 사업에... ",https://www.etnews.com/20240212000062,https://n.news.naver.com/mnews/article/030/0003180300?sid=101
