cnt,pdate,title,description,org_link,link
1,2024-02-15 16:12:00,&quot;저출산·고령화...2040년 잠재성장률 0.7%까지 하락&quot; -대한상의,"Vehicles), <b>인공지능</b>(Artificial Intelligence) 등 신기술 분야에서 혁신을 주도했던 일본*이 현재는 젊은 인재들의... 고숙련 <b>전문가</b>를 활용할 수 있는 직무 분석 및 발굴 등이 필요하다&quot;고 말했다. 해외 전문인력을 국내로... ",http://www.biztribune.co.kr/news/articleView.html?idxno=304556,http://www.biztribune.co.kr/news/articleView.html?idxno=304556
2,2024-02-15 16:10:00,&quot;연금 VIP 모십니다&quot;…하나은행 '연금 더 드림 라운지' 여의도 오픈,연금관리 뿐 아니라 세무·부동산·상속·증여 등 자산관리 전 분야의 <b>전문가</b>와 연계한 하나은행만의... 또 ▲모바일 연금닥터 서비스 ▲<b>인공지능</b>(AI)연금투자솔루션 등 비대면 채널에서도 차별화된 자산관리 서비스를... ,http://www.4th.kr/news/articleView.html?idxno=2057435,http://www.4th.kr/news/articleView.html?idxno=2057435
3,2024-02-15 16:08:00,"제주도, <b>인공지능</b>(AI) 역량강화 도민 교육 본격 운영","이번 프로그램은 RIS사업 지역혁신자율과제의 일환으로 마련됐으며, 국내 <b>인공지능</b>(AI) 분야의 대표적인 스타트업인 '업스테이지(Upstage)'가 교육 진행을 맡는다. AI <b>전문가</b>인 업스테이지 김성훈 최고경영책임자(CEO)와... ",http://www.headlinejeju.co.kr/news/articleView.html?idxno=536352,http://www.headlinejeju.co.kr/news/articleView.html?idxno=536352
4,2024-02-15 16:08:00,미래에셋증권 '이번 주 챙겨볼 금융상품' 조회수↑,관계자는 &quot;현재 <b>인공지능</b> 역할이 투자자의 자산배분을 넘어 금융 상품 추천까지 확장되고 있지만 실제로 고객들은 투자결정을 할 때 <b>전문가</b>의 도움을 필요로 하고 있다&quot;며 &quot;특히 투자 경험이 적은 초보 투자자일수록... ,http://www.handmk.com/news/articleView.html?idxno=20252,http://www.handmk.com/news/articleView.html?idxno=20252
5,2024-02-15 16:06:00,"미래에셋증권, M-STOCK '이번 주 챙겨볼 금융상품' 조회수 100만 돌파",미래에셋증권 관계자는 '현재 <b>인공지능</b> 역할이 투자자의 자산배분을 넘어 금융 상품 추천까지 확장되고 있지만 실제로 고객들은 투자결정을 할 때 <b>전문가</b>의 도움을 필요로 하고 있다&quot;라며 &quot;특히 투자 경험이 적은 초보... ,http://www.womentimes.co.kr/news/articleView.html?idxno=71087,http://www.womentimes.co.kr/news/articleView.html?idxno=71087
6,2024-02-15 16:02:00,[김장현의 테크와 사람] 〈43〉그래도 인재가 미래다,"<b>인공지능</b>(AI)이 좋아 관련 전공으로 진학했고, 1학년 때에는 미적분, 선형대수, 일반물리 등을 들으며 수리적... 의사과학자가 필요하다면, AI윤리 <b>전문가</b>도 필요하며, 기술에 아트를 접목하는 테크노아티스트도 필요하다.... ",https://www.etnews.com/20240215000005,https://n.news.naver.com/mnews/article/030/0003181321?sid=110
7,2024-02-15 16:02:00,저출산·고령화로 생산인구 감소... &quot;생산성 높여야 미래 희망&quot;,"김천구 대한상의 SGI 연구위원은 &quot;과거 수소 저장, 자율주행 차량, <b>인공지능</b>(AI) 등 신기술 분야에서 혁신을... 고숙련 <b>전문가</b>를 활용할 수 있는 직무 분석 및 발굴 등이 필요하다&quot;고 제언했다. 해외 전문인력을 국내로... ",https://www.joongdo.co.kr/web/view.php?key=20240215010004094,https://www.joongdo.co.kr/web/view.php?key=20240215010004094
8,2024-02-15 16:02:00,대한상의 &quot;2040년 잠재성장률 0.7% 하락&quot; 저출산·고령화 영향,"Vehicles), <b>인공지능</b>(Artificial Intelligence) 등 신기술 분야에서 혁신을 주도했던 일본이 현재는 젊은 인재의... 고숙련 <b>전문가</b>를 활용할 수 있는 직무 분석‧발굴 등이 필요하다&quot;고 말했다. 해외 전문인력을 국내로... ",https://www.womennews.co.kr/news/articleView.html?idxno=245489,https://n.news.naver.com/mnews/article/310/0000114404?sid=101
9,2024-02-15 16:02:00,[리더스포럼] IT 최대경연장 CES,"그 주<b>인공</b>은 단연 <b>인공지능</b>(AI)으로 신기술·신제품이 대거 출품됐다. 시장조사업체 포레스터의 디판잔... 국내 대표 AI <b>전문가</b> 배경훈 LG AI연구원장 등과 CES를 소개한 관람후기, 현장취재를 통한 분석자료들은... ",https://www.etnews.com/20240214000346,https://n.news.naver.com/mnews/article/030/0003181312?sid=110
10,2024-02-15 16:02:00,이창한 “난 이공계·관료 출신 경제인…개혁신당의 차별화 포인트” [인터뷰...,경제<b>전문가</b>…현실적인 정책 마련 가능&quot; &quot;개혁신당 아직 색채 불분명…우리만의 색깔 찾아야&quot; 4·10 총선을... “<b>인공지능</b>(AI)과 반도체가 이 시대의 화두 중 하나다. 반도체 없이는 앞으로 <b>지능</b>사회에 대처할 수 없기 때문에... ,https://www.etoday.co.kr/news/view/2331327,https://www.etoday.co.kr/news/view/2331327
11,2024-02-15 16:02:00,"무하유, 국회도서관 융복합서비스 데이터셋 구축사업 완료",무하유는 이번 사업을 통해 국회도서관에서 제공 중인 <b>인공지능</b>(AI) 의정분석 서비스 '아르고스'에 법률 관련... 무하유는 원활한 사업 추진을 위해 법률 지식을 보유한 <b>전문가</b>들을 포함한 데이터셋 구축인력을 구성했다.... ,https://www.etnews.com/20240215000318,https://n.news.naver.com/mnews/article/030/0003181320?sid=105
12,2024-02-15 16:02:00,"곡성군, 행안부 데이터기반행정 평가 3년 연속 '최고등급'",민간<b>전문가</b>로 구성된 점검단은 '데이터기반행정 관리체계'와 '데이터 공동활용' '데이터 분석 및 정책활용... 군에서는 데이터기반행정 역량문화 조성을 위해 데이터 기술의 변화에 따른 <b>인공지능</b> ChatGPT 직원교육과 홍보... ,http://www.newsworker.co.kr/news/articleView.html?idxno=319341,http://www.newsworker.co.kr/news/articleView.html?idxno=319341
13,2024-02-15 16:01:00,철도 AI교통 시대 개막···&quot;경쟁력은 독점 아닌 기능분리&quot;,<b>인공지능</b>(AI)을 활용한 '제2철도교통관제센터' 사업이 본격화하면서 코레일의 철도관제권 독점 문제가 다시... 이와 관련해 철도 <b>전문가</b>들은 코레일이 처음 운영‧유지보수‧관제를 시작한 시절과 철도 산업 환경이... ,http://www.enewstoday.co.kr/news/articleView.html?idxno=2090430,http://www.enewstoday.co.kr/news/articleView.html?idxno=2090430
14,2024-02-15 16:01:00,"[K바이오 심장, 홍릉이 뛴다] 아·태 헬스케어 거점 싱가포르 손잡고 동남아로",지원 <b>전문가</b> “싱가포르도 홍릉특구와 협력 성공 사례 꼽혀” 지난 1월 22일 싱가포르 중심업무지구에 있는... 망막 혈관 사진을 촬영해 심혈관·신장 질환을 예측하는 <b>인공지능</b>(AI) 의료기기 ‘닥터눈’을 개발하는... ,https://biz.chosun.com/science-chosun/science/2024/02/15/REIJJ7LPJFDT7JF6TUOHYXPZ2E/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000970637?sid=105
15,2024-02-15 15:54:00,"미래에셋생명, '글로벌 MVP60' 누적 수익률 70% 돌파",글로벌 자산배분 <b>전문가</b>가 매분기 시장 상화에 맞춰 펀드 간 비중을 조정해 운용한다. 글로벌 MVP60은... 유지하며 <b>인공지능</b>(AI)을 통해 수익모델을 다양화할 미국 소프트웨어 기업들에 대한 투자비중을 크게 늘렸다.... ,http://www.shinailbo.co.kr/news/articleView.html?idxno=1829345,http://www.shinailbo.co.kr/news/articleView.html?idxno=1829345
16,2024-02-15 15:54:00,"미래에셋생명, 변액펀드 누적 수익률 70% 기록","자산배분 <b>전문가</b>가 매 분기 시장 상황에 맞춰 펀드 간 비중을 조정하며 운용하고 있다. 미래에셋생명... 유지하며, <b>인공지능</b>(AI)을 통해 수익모델을 다양화할 미국 소프트웨어 기업들에 대한 투자 비중을 크게... ",http://www.ftoday.co.kr/news/articleView.html?idxno=316302,http://www.ftoday.co.kr/news/articleView.html?idxno=316302
17,2024-02-15 15:50:00,"미래에셋증권 M-STOCK '이번 주 챙겨볼 금융상품', 조회수 100만 돌파",미래에셋증권 관계자는 &quot;현재 <b>인공지능</b> 역할이 투자자의 자산배분을 넘어 금융 상품 추천까지 확장되고 있지만 실제로 고객들은 투자결정을 할 때 <b>전문가</b>의 도움을 필요로 하고 있다&quot;며 &quot;특히 투자 경험이 적은 초보... ,http://www.kdfnews.com/news/articleView.html?idxno=126871,http://www.kdfnews.com/news/articleView.html?idxno=126871
18,2024-02-15 15:48:00,"미래에셋증권, '이번 주 챙겨볼 금융상품' 조회수 100만 돌파","미래에셋증권 관계자는 &quot;현재 <b>인공지능</b> 역할이 투자자의 자산배분을 넘어 금융 상품 추천까지 확장되고 있지만 실제로 고객들은 투자결정을 할 때 <b>전문가</b>의 도움을 필요로 하고 있다&quot;라며, &quot;특히 투자 경험이 적은 초보... ",https://www.ziksir.com/news/articleView.html?idxno=51951,https://www.ziksir.com/news/articleView.html?idxno=51951
19,2024-02-15 15:42:00,2040년 한국 잠재성장률 0.7%…&quot;혁신 성장 이끌 연구원 육성해야&quot;,"김천구 대한상의 SGI 연구위원은 “자율주행 차량, <b>인공지능</b>(AI) 등 신기술 분야에서 혁신을 주도했던... 고숙련 <b>전문가</b>를 활용할 수 있는 직무 분석 및 발굴 등도 필요하다”고 설명했다. 이와 함께 해외 전문인력... ",https://www.hankyung.com/article/202402156282i,https://n.news.naver.com/mnews/article/015/0004948788?sid=101
20,2024-02-15 15:40:00,[제약업계 소식] 2월 15일,"이화여자대학교와 '<b>인공지능</b> 알고리즘을 이용한 신약개발 협력 연구'를 위한 업무협약을 체결했다고 지난... 출신 <b>전문가</b>들이 설립한 바이오 기업이다. 생물공학적으로 약물작용점, 작용강도 및 치료 지속 시간을... ",http://www.doctorstimes.com/news/articleView.html?idxno=226049,http://www.doctorstimes.com/news/articleView.html?idxno=226049
21,2024-02-15 15:34:00,"KT, 올해 1000명 뽑는다…상반기 500여명 채용","KT는 초거대 <b>인공지능</b>(AI) 기술 개발 등 정보기술(IT), 디지털 미디어 분야 신입·경력직원 수백명을 공개... 당시 경영지원·법무·기술 최고책임자 자리는 외부 <b>전문가</b>에게 맡겼다. 김 대표가 실질적인 변화를 도모할 수... ",https://www.hankyung.com/article/202402156255i,https://n.news.naver.com/mnews/article/015/0004948778?sid=105
22,2024-02-15 15:24:00,"미래에셋생명, 저위험·고성과 '글로벌 MVP60' 누적수익률 70% 돌파","배분 <b>전문가</b>가 매 분기 시장 상황에 맞춰 펀드간 비중을 조정하면서 운용되고 있다. 펀드 변경이 어렵거나... 유지하고, <b>인공지능</b>(AI)을 통해 수익 모델을 다양화할 미국 소프트웨어 기업들에 대한 투자 비중을 크게... ",http://www.updownnews.co.kr/news/articleView.html?idxno=307231,http://www.updownnews.co.kr/news/articleView.html?idxno=307231
