,순위,제목
0,1,2024 이기적 빅데이터분석기사 필기 기본서
1,2,Do it! 쉽게 배우는 R 데이터 분석
2,3,2023 이기적 빅데이터분석기사 필기 기본서
3,4,Real MySQL 8.0 1권
4,5,데이터 중심 애플리케이션 설계
5,6,"빅데이터 시대, 성과를 이끌어 내는 데이터 문해력"
6,7,빅데이터 커리어 가이드북
7,8,Real MySQL 8.0 2권
8,9,2023 이기적 빅데이터분석기사 실기 기본서
9,10,빅데이터 인문학 : 진격의 서막
10,11,AI시대의 컴퓨터 개론
11,12,2024 이기적 빅데이터분석기사 실기 (Python 분석)
12,13,데이터 과학 기반의 파이썬 빅데이터 분석
13,14,빅 데이터가 만드는 세상
14,15,대시보드 설계와 데이터 시각화
15,16,빅데이터를 지탱하는 기술
16,17,데이터 파이프라인 핵심 가이드
17,18,파이썬 한권으로 끝내기 : 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비
18,19,챗GPT시대 기업이 살아남는 법
19,20,R 통계의 정석
20,21,MySQL 성능 최적화
21,22,카프카 핵심 가이드
22,23,궁금한 IT
23,24,통계로 통하다 2024 ADsP 데이터분석 준전문가
24,25,엑셀로 배우는 데이터 분석
